Date,Time,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status,Day
2023-02-16,01:00:00,43.50626,P ugm-3,0.87311,P ugm-3,11.28375,P ugm-3,12.6225,N ugm-3,13.5,P ugm-3 (FIDAS),10.943,P ugm-3 (Ref.eq),211.1,N deg,2.6,N ms-1,4.4,N degC,X
2023-02-16,02:00:00,49.69293,P ugm-3,0.74838,P ugm-3,7.45875,P ugm-3,8.60625,N ugm-3,10.3,P ugm-3 (FIDAS),7.359,P ugm-3 (Ref.eq),214.5,N deg,2.7,N ms-1,4.8,N degC,X
2023-02-16,03:00:00,52.88605,P ugm-3,0.62365,P ugm-3,6.69375,P ugm-3,7.65,N ugm-3,7.3,P ugm-3 (FIDAS),5.377,P ugm-3 (Ref.eq),205.7,N deg,3.2,N ms-1,5.2,N degC,X
2023-02-16,04:00:00,55.28089,P ugm-3,0.74838,P ugm-3,8.98875,P ugm-3,10.13625,N ugm-3,5.3,P ugm-3 (FIDAS),3.774,P ugm-3 (Ref.eq),203.4,N deg,3.4,N ms-1,5.6,N degC,X
2023-02-16,05:00:00,60.27014,P ugm-3,0.49892,P ugm-3,4.01625,P ugm-3,4.78125,N ugm-3,4.3,P ugm-3 (FIDAS),3.208,P ugm-3 (Ref.eq),200.6,N deg,4.5,N ms-1,5.6,N degC,X
2023-02-16,06:00:00,54.48261,P ugm-3,0.74838,P ugm-3,9.37125,P ugm-3,10.51875,N ugm-3,5.3,P ugm-3 (FIDAS),3.962,P ugm-3 (Ref.eq),195.5,N deg,4.9,N ms-1,5.9,N degC,X
2023-02-16,07:00:00,51.08992,P ugm-3,0.99784,P ugm-3,9.5625,P ugm-3,11.0925,N ugm-3,4.9,P ugm-3 (FIDAS),3.774,P ugm-3 (Ref.eq),196.8,N deg,5.2,N ms-1,6.6,N degC,X
2023-02-16,08:00:00,43.10712,P ugm-3,1.87095,P ugm-3,18.16875,P ugm-3,21.0375,N ugm-3,12.4,P ugm-3 (FIDAS),10,P ugm-3 (Ref.eq),203.9,N deg,5.3,N ms-1,7.2,N degC,X
2023-02-16,09:00:00,43.30669,P ugm-3,2.36987,P ugm-3,18.16875,P ugm-3,21.8025,N ugm-3,13.7,P ugm-3 (FIDAS),11.132,P ugm-3 (Ref.eq),211.4,N deg,5,N ms-1,7.7,N degC,X
2023-02-16,10:00:00,44.90325,P ugm-3,2.99352,P ugm-3,16.63875,P ugm-3,21.22875,N ugm-3,7.9,P ugm-3 (FIDAS),5.849,P ugm-3 (Ref.eq),225.3,N deg,4.8,N ms-1,8.1,N degC,X
