,Date,Time,Ozone,Status,Nitric oxide,Status.1,Nitrogen dioxide,Status.2,Nitrogen oxides as nitrogen dioxide,Status.3,PM10 particulate matter,Status.4,PM2.5 particulate matter,Status.5,Modelled Wind Direction,Status.6,Modelled Wind Speed,Status.7,Modelled Temperature,Status.8,Day,Timestamp(UTC),Timestamp(UTS),Timestamp(Local),95-NO2(ug/m3)-slotA,95-O3(ug/m3)-slotA,95-NO(ug/m3)-slotA,95-PM1(ug/m3)-slotA,95-PM2.5(ug/m3)-slotA,95-PM10(ug/m3)-slotA,95-NO2(ug/m3)-slotB,95-O3(ug/m3)-slotB,95-NO(ug/m3)-slotB,95-PM1(ug/m3)-slotB,95-PM2.5(ug/m3)-slotB,95-PM10(ug/m3)-slotB
24,2023-02-18,01:00:00,56.47831,P ugm-3,0.62365,P ugm-3,5.355,P ugm-3,6.31125,N ugm-3,5.5,P ugm-3 (FIDAS),4.906,P ugm-3 (Ref.eq),253.5,N deg,7.3,N ms-1,10.4,N degC,Friday,2023-02-18T01:00:09+00:00,1676682009,2023-02-18T01:00:09+0000,8.39,9.42,0,5.7,5.89,9.38,9.05,31.75,0,0.71,1.97,3.86
25,2023-02-18,02:00:00,59.27229,P ugm-3,0.62365,P ugm-3,3.4425,P ugm-3,4.39875,N ugm-3,3.5,P ugm-3 (FIDAS),2.83,P ugm-3 (Ref.eq),260.5,N deg,6.9,N ms-1,10,N degC,Friday,2023-02-18T02:00:09+00:00,1676685609,2023-02-18T02:00:09+0000,9.34,14.52,0,0.71,2.48,5.07,4.61,38.8,0,0.71,1.69,3.05
26,2023-02-18,03:00:00,66.25724,P ugm-3,0.49892,P ugm-3,2.86875,P ugm-3,3.63375,N ugm-3,3.3,P ugm-3 (FIDAS),1.981,P ugm-3 (Ref.eq),260.1,N deg,6.6,N ms-1,10.1,N degC,Friday,2023-02-18T02:59:15+00:00,1676689155,2023-02-18T02:59:15+0000,1.04,22.27,1.06,0,1.71,3.03,0,42.65,2.08,2.14,3.23,5.58
27,2023-02-18,04:00:00,73.64133,P ugm-3,0.49892,P ugm-3,2.10375,P ugm-3,2.86875,N ugm-3,8.8,P ugm-3 (FIDAS),3.679,P ugm-3 (Ref.eq),260.2,N deg,7.4,N ms-1,10,N degC,Friday,2023-02-18T04:00:05+00:00,1676692805,2023-02-18T04:00:05+0000,7.39,14.87,0,1.43,3.26,5.57,9.6,35,0.29,0.71,1.7,3.04
28,2023-02-18,05:00:00,73.04262,P ugm-3,0.74838,P ugm-3,3.25125,P ugm-3,4.39875,N ugm-3,6.2,P ugm-3 (FIDAS),3.302,P ugm-3 (Ref.eq),264.5,N deg,7.4,N ms-1,10.2,N degC,Friday,2023-02-18T05:00:09+00:00,1676696409,2023-02-18T05:00:09+0000,11.19,21.37,0,0,1.74,3,10.45,44.2,1.93,0,1.16,2.46
29,2023-02-18,06:00:00,71.44606,P ugm-3,0.62365,P ugm-3,3.4425,P ugm-3,4.39875,N ugm-3,4.3,P ugm-3 (FIDAS),2.264,P ugm-3 (Ref.eq),267.8,N deg,6.8,N ms-1,10.4,N degC,Friday,2023-02-18T06:00:00+00:00,1676700000,2023-02-18T06:00:00+0000,12.79,16.77,0,0,1.71,3.68,14.35,37.2,0,0,1.01,2.63
30,2023-02-18,07:00:00,65.8581,P ugm-3,1.12257,P ugm-3,5.7375,P ugm-3,7.45875,N ugm-3,2.8,P ugm-3 (FIDAS),1.509,P ugm-3 (Ref.eq),270.4,N deg,5.7,N ms-1,10.3,N degC,Friday,2023-02-18T07:00:00+00:00,1676703600,2023-02-18T07:00:00+0000,16.79,15.57,0,0,1.06,2.57,16.5,42.8,0,0.71,1.5,3.23
31,2023-02-18,08:00:00,61.06842,P ugm-3,1.62149,P ugm-3,9.37125,P ugm-3,11.8575,N ugm-3,1.4,P ugm-3 (FIDAS),0.66,P ugm-3 (Ref.eq),250.1,N deg,2.9,N ms-1,9.2,N degC,Friday,2023-02-18T08:00:00+00:00,1676707200,2023-02-18T08:00:00+0000,17.69,8.62,5.29,0,1.07,2.56,18.7,30.9,3.54,0,1.14,2.48
32,2023-02-18,09:00:00,56.87745,P ugm-3,2.74406,P ugm-3,12.24,P ugm-3,16.4475,N ugm-3,1.5,P ugm-3 (FIDAS),0.66,P ugm-3 (Ref.eq),260.5,N deg,5,N ms-1,10.4,N degC,Friday,2023-02-18T09:00:06+00:00,1676710806,2023-02-18T09:00:06+0000,16.09,0,0,0,1.18,2.43,20.86,11.95,1.02,0,1.54,3.2
33,2023-02-18,10:00:00,52.88605,P ugm-3,4.49028,P ugm-3,13.57875,P ugm-3,20.46375,N ugm-3,2,P ugm-3 (FIDAS),0.943,P ugm-3 (Ref.eq),277.9,N deg,6,N ms-1,11.5,N degC,Friday,2023-02-18T10:00:38+00:00,1676714438,2023-02-18T10:00:38+0000,10.04,8.17,1.5,0,1.12,2.51,11.45,29.1,0,0,1.53,2.03
