Date,Time,Ozone,Status,Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,PM2.5 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
2023-02-23,01:00:00,50.09207,P ugm-3,0.87311,P ugm-3,9.945,P ugm-3,11.28375,N ugm-3,5.9,P ugm-3 (FIDAS),3.868,P ugm-3 (Ref.eq),12.6,N deg,5.2,N ms-1,4.9,N degC
2023-02-23,02:00:00,54.48261,P ugm-3,0.49892,P ugm-3,6.12,P ugm-3,6.885,N ugm-3,5.3,P ugm-3 (FIDAS),3.208,P ugm-3 (Ref.eq),18.3,N deg,5.8,N ms-1,4.9,N degC
2023-02-23,03:00:00,55.08132,P ugm-3,0.49892,P ugm-3,7.07625,P ugm-3,7.84125,N ugm-3,5.8,P ugm-3 (FIDAS),3.491,P ugm-3 (Ref.eq),12.8,N deg,5.3,N ms-1,5,N degC
2023-02-23,04:00:00,60.07057,P ugm-3,0.62365,P ugm-3,7.45875,P ugm-3,8.415,N ugm-3,5.6,P ugm-3 (FIDAS),3.396,P ugm-3 (Ref.eq),18.9,N deg,6.3,N ms-1,5.1,N degC
2023-02-23,05:00:00,56.47831,P ugm-3,2.61933,P ugm-3,32.5125,P ugm-3,36.52875,N ugm-3,5.7,P ugm-3 (FIDAS),3.302,P ugm-3 (Ref.eq),25.1,N deg,6.9,N ms-1,4.7,N degC
2023-02-23,06:00:00,55.08132,P ugm-3,1.87095,P ugm-3,23.715,P ugm-3,26.58375,N ugm-3,6.7,P ugm-3 (FIDAS),3.962,P ugm-3 (Ref.eq),24.1,N deg,6.5,N ms-1,4.1,N degC
2023-02-23,07:00:00,51.68863,P ugm-3,5.48812,P ugm-3,30.9825,P ugm-3,39.3975,N ugm-3,15.3,P ugm-3 (FIDAS),7.453,P ugm-3 (Ref.eq),22.5,N deg,6.2,N ms-1,3.4,N degC
2023-02-23,08:00:00,47.8968,P ugm-3,6.73542,P ugm-3,33.2775,P ugm-3,43.605,N ugm-3,15.8,P ugm-3 (FIDAS),7.453,P ugm-3 (Ref.eq),23.3,N deg,5.4,N ms-1,2.9,N degC
2023-02-23,09:00:00,41.71013,P ugm-3,9.72894,P ugm-3,35.19,P ugm-3,50.1075,N ugm-3,14.5,P ugm-3 (FIDAS),7.076,P ugm-3 (Ref.eq),29.4,N deg,6.2,N ms-1,4.3,N degC
2023-02-23,10:00:00,46.69938,P ugm-3,11.35043,P ugm-3,38.25,P ugm-3,55.65375,N ugm-3,14.4,P ugm-3 (FIDAS),6.887,P ugm-3 (Ref.eq),32.6,N deg,6.2,N ms-1,5.3,N degC
2023-02-23,11:00:00,55.48046,P ugm-3,10.35259,P ugm-3,34.99875,P ugm-3,50.8725,N ugm-3,15.2,P ugm-3 (FIDAS),6.604,P ugm-3 (Ref.eq),34.3,N deg,6.1,N ms-1,6.1,N degC
2023-02-23,12:00:00,59.27229,P ugm-3,9.35475,P ugm-3,30.02625,P ugm-3,44.37,N ugm-3,15.5,P ugm-3 (FIDAS),6.698,P ugm-3 (Ref.eq),32,N deg,5.7,N ms-1,6.3,N degC
2023-02-23,13:00:00,60.07057,P ugm-3,7.10961,P ugm-3,24.48,P ugm-3,35.38125,N ugm-3,14.7,P ugm-3 (FIDAS),6.792,P ugm-3 (Ref.eq),26.4,N deg,5.3,N ms-1,6.3,N degC
2023-02-23,14:00:00,56.47831,P ugm-3,7.10961,P ugm-3,27.34875,P ugm-3,38.25,N ugm-3,17,P ugm-3 (FIDAS),8.113,P ugm-3 (Ref.eq),23,N deg,5,N ms-1,6.9,N degC
2023-02-23,15:00:00,57.47616,P ugm-3,7.98272,P ugm-3,33.46875,P ugm-3,45.70875,N ugm-3,15.6,P ugm-3 (FIDAS),7.359,P ugm-3 (Ref.eq),18.6,N deg,4.7,N ms-1,6.8,N degC
2023-02-23,16:00:00,59.871,P ugm-3,5.86231,P ugm-3,24.67125,P ugm-3,33.66,N ugm-3,11.7,P ugm-3 (FIDAS),5.377,P ugm-3 (Ref.eq),25.3,N deg,3.7,N ms-1,6.2,N degC
2023-02-23,17:00:00,46.10067,P ugm-3,8.35691,P ugm-3,37.8675,P ugm-3,50.68125,N ugm-3,12.4,P ugm-3 (FIDAS),5.566,P ugm-3 (Ref.eq),11.8,N deg,2,N ms-1,5.2,N degC
2023-02-23,18:00:00,26.14367,P ugm-3,9.85367,P ugm-3,57.56625,P ugm-3,72.675,N ugm-3,14.1,P ugm-3 (FIDAS),6.415,P ugm-3 (Ref.eq),344.3,N deg,2.3,N ms-1,3.7,N degC
2023-02-23,19:00:00,3.59226,P ugm-3,47.77159,P ugm-3,87.975,P ugm-3,161.22375,N ugm-3,17.9,P ugm-3 (FIDAS),8.113,P ugm-3 (Ref.eq),343.9,N deg,1.8,N ms-1,2.1,N degC
2023-02-23,20:00:00,1.79613,P ugm-3,104.52374,P ugm-3,93.52125,P ugm-3,253.78875,N ugm-3,37.4,P ugm-3 (FIDAS),21.321,P ugm-3 (Ref.eq),306.1,N deg,1.6,N ms-1,1,N degC
2023-02-23,21:00:00,11.17592,P ugm-3,22.32667,P ugm-3,62.15625,P ugm-3,96.39,N ugm-3,22.4,P ugm-3 (FIDAS),11.698,P ugm-3 (Ref.eq),296.2,N deg,2.4,N ms-1,0.5,N degC
2023-02-23,22:00:00,18.75958,P ugm-3,11.47516,P ugm-3,50.1075,P ugm-3,67.7025,N ugm-3,20.1,P ugm-3 (FIDAS),9.906,P ugm-3 (Ref.eq),313.2,N deg,2.5,N ms-1,0.4,N degC
2023-02-23,23:00:00,14.96775,P ugm-3,9.47948,P ugm-3,53.9325,P ugm-3,68.4675,N ugm-3,21.6,P ugm-3 (FIDAS),10.66,P ugm-3 (Ref.eq),307.8,N deg,2.5,N ms-1,0.2,N degC
2023-02-23,24:00:00,19.15872,P ugm-3,5.61285,P ugm-3,43.03125,P ugm-3,51.6375,N ugm-3,24.9,P ugm-3 (FIDAS),12.359,P ugm-3 (Ref.eq),306.9,N deg,2.7,N ms-1,0.3,N degC
