,Feature,Importance,Credit Score,Credit Granted?
0,EXT_SOURCE_2,0.09,0.15949687928242184,No
1,EXT_SOURCE_1,0.06,0.15949687928242184,No
2,REGION_POPULATION_RELATIVE,0.02,0.15949687928242184,No
3,DAYS_BIRTH,0.02,0.15949687928242184,No
4,DAYS_REGISTRATION,0.02,0.15949687928242184,No
5,REG_CITY_NOT_WORK_CITY,0.02,0.15949687928242184,No
6,DEF_30_CNT_SOCIAL_CIRCLE,0.02,0.15949687928242184,No
7,PREV_AMT_ANNUITY_MIN,0.02,0.15949687928242184,No
8,Unnamed: 0,0.01,0.15949687928242184,No
9,SK_ID_CURR,0.01,0.15949687928242184,No
